timestamp,dhtTemp,dhthum,LDR value,rainValue,aqi value,bmpTemp,pressure,altitude,rainStatusNum,weather_condition,AQI_Category
2024-11-04T12:37:31-05:00,30.2,79,687,999,396,30.72,1008.62531,28.16959,No Rain,Rainy,Hazardous
2024-11-04T12:38:33-05:00,29.8,77,688,404,397,30.72,1008.61737,28.23564,Moderate Rain,Hazy,Hazardous
2024-11-04T12:39:35-05:00,29.9,78,715,506,413,30.72,1008.62201,28.19682,Moderate Rain,Rainy,Hazardous
2024-11-04T12:40:37-05:00,30.8,80,708,585,345,30.72,1008.61108,28.28807,Moderate Rain,Rainy,Hazardous
2024-11-04T12:41:39-05:00,31.3,81,753,584,366,30.71,1008.59741,28.40253,Moderate Rain,Rainy,Hazardous
2024-11-04T12:42:40-05:00,32.3,82,758,566,357,30.71,1008.58484,28.5074,Moderate Rain,Rainy,Hazardous
2024-11-04T12:43:42-05:00,29.3,75,747,562,354,30.73,1008.59003,28.46404,Moderate Rain,Rainy,Hazardous
2024-11-04T12:44:44-05:00,28.9,76,754,564,373,30.74,1008.58875,28.47513,Moderate Rain,Rainy,Hazardous
2024-11-04T12:45:46-05:00,25.3,73,750,568,348,30.76,1008.57733,28.57043,Moderate Rain,Rainy,Hazardous
2024-11-04T12:46:48-05:00,22.9,74,692,578,384,30.75,1008.57971,28.55026,Moderate Rain,Rainy,Hazardous
2024-11-04T12:47:50-05:00,23,72,763,586,423,30.75,1008.56232,28.69597,Moderate Rain,Rainy,Hazardous
2024-11-04T12:48:52-05:00,23.4,73,702,595,412,30.77,1008.5639,28.68287,Moderate Rain,Rainy,Hazardous
2024-11-04T12:49:54-05:00,60.1,71,691,427,411,30.77,1008.54663,28.82707,Moderate Rain,Hazy,Hazardous
2024-11-04T12:50:56-05:00,23.8,70,705,510,414,30.73,1008.52075,29.04338,Moderate Rain,Rainy,Hazardous
2024-11-04T12:51:58-05:00,24.1,69,696,534,415,30.75,1008.53204,28.94909,Moderate Rain,Rainy,Hazardous
2024-11-04T12:53:00-05:00,24.5,83,721,590,425,30.75,1008.52344,29.02069,Moderate Rain,Rainy,Hazardous
2024-11-04T12:54:02-05:00,24.8,84,720,632,420,30.74,1008.51331,29.1054,Light Rain,Rainy,Hazardous
2024-11-04T12:55:03-05:00,24.2,66,729,615,407,30.74,1008.48407,29.34996,Light Rain,Rainy,Hazardous
2024-11-04T12:56:05-05:00,22.6,11,700,665,409,30.73,1008.4422,29.69991,Light Rain,Rainy,Hazardous
2024-11-04T12:57:07-05:00,23.7,98,732,702,417,30.76,1008.43628,29.74933,Light Rain,Rainy,Hazardous
