MaxTemp,mintemp,Rain Value,rainStatus,WindStream,cloud,Label
24.79000092,14.72,999,0,5.8,2,0
23.57999992,15.72,404,1,8.1,2,1
23.85000038,14.73,506,0,9.2,2,0
24.68000031,15.73,585,0,8.1,2,1
24.63999939,16.73,584,0,8.1,2,0
25.37999916,14.7,566,0,11.4,2,1
25.46999931,15.7,562,0,8.1,2,0
25.68000031,16.7,564,0,8.1,2,1
26.17000008,14.72,568,0,5.8,2,0
27.64999962,15.72,578,0,16.1,2,1
25.51000023,16.72,586,0,9.2,2,0
25.52000046,17.72,595,0,11.4,2,0
26.46999931,18.72,427,1,11.4,2,1
28.09000015,14.6,510,0,12.8,2,0
28.36000061,15.6,534,0,9.2,2,1
28.70999908,16.6,590,0,8.1,2,0
28.88999939,17.6,632,0,8.1,2,1
27.02000046,13.6,615,0,10.3,2,0
24.56999969,14.6,665,0,11.4,2,1
24.72999954,15.6,702,0,9.2,2,0
24.15999985,16.6,750,0,11.4,2,1
24.29000092,12.67,785,0,11.4,2,0
23.72999954,13.67,801,0,11.4,2,0
23.61000061,14.67,813,0,10.3,2,1
24.06999969,15.67,833,0,9.2,2,0
24.11000061,16.67,852,0,5.8,2,1
24.65999985,17.67,868,0,5.8,2,0
25.55999947,18.67,871,0,11.4,2,1
26.36000061,19.67,453,1,10.3,2,0
26.86000061,20.67,694,0,8.1,2,1
27.37000084,16.55,756,0,6.9,2,0
27.35000038,17.55,830,0,6.9,2,1
28.45000076,18.55,856,0,8.1,2,0
28.98999977,19.55,874,0,10.3,2,0
28.32999992,20.55,880,0,9.2,2,1
27.07999992,21.55,895,0,5.8,2,0
27.45000076,19.56,898,0,6.9,2,1
27.98999977,20.56,885,0,10.3,2,0
27.72999954,21.56,907,0,9.2,2,1
27.94000053,22.56,924,0,6.9,2,0
29.26000023,18.69,932,0,6.9,2,1
31.62000084,19.69,945,0,9.2,2,0
31.95999908,20.69,952,0,8.1,2,1
29.70000076,21.69,960,0,5.8,2,0
28.70999908,22.69,473,1,5.8,2,0
28.78000069,23.69,476,1,8.1,2,1
27.51000023,24.69,597,0,5.8,2,0
28.11000061,10.33,773,0,6.9,2,1
27.26000023,11.33,740,0,6.9,2,0
28.09000015,12.33,832,0,6.9,2,1
29.61000061,13.33,882,0,10.3,2,0
31.02000046,14.33,896,0,16.1,2,1
31.39999962,15.33,913,0,15,2,0
32.75999832,16.33,914,0,10.3,2,1
32.52000046,17.33,921,0,6.9,2,0
32.27000046,18.33,926,0,11.4,2,0
33.09000015,19.33,940,0,6.9,2,1
32.88000107,20.33,951,0,5.8,2,0
32.61999893,21.33,963,0,8.1,2,1
32.56000137,22.33,805,0,8.1,2,0
32.86000061,23.33,868,0,11.4,2,1
33.22999954,23.4,948,0,11.4,2,0
33.27999878,24.4,968,0,12.8,2,1
33.06999969,25.4,975,0,11.4,2,0
33.74000168,26.4,987,0,11.4,2,1
34.56999969,22.01,997,0,10.3,2,0
35.34999847,23.01,1004,0,15,2,0
35.63999939,24.01,1013,0,10.3,2,1
36.72000122,25.01,1022,0,16.1,2,0
35.81999969,18,1024,0,10.3,2,1
36.61000061,19,1024,0,9.2,2,0
33.86000061,20,1024,0,12.8,2,1
34.70000076,21,1024,0,6.9,2,0
33.18999863,22,1024,0,9.2,2,1
34.27000046,23,1024,0,6.9,2,0
34.88000107,17.01,1024,0,12.8,2,1
34.52000046,18.01,1024,0,15,2,0
35.31000137,19.01,1024,0,8.1,2,0
31.29000092,20.01,1024,0,10.3,2,1
29.54999924,21.01,1024,0,9.2,2,0
32.38999939,22.01,1024,0,9.2,2,1
31.68000031,23.01,1024,0,15,2,0
31.72999954,24.01,1024,0,11.4,2,1
32.41999817,17.89,1024,0,12.8,2,0
30.22999954,18.89,1024,0,12.8,2,1
26.17000008,19.89,682,0,12.8,2,0
29.82999992,20.89,867,0,12.8,2,1
32.27999878,21.89,879,0,13.9,2,0
28.62999916,22.89,897,0,23,2,0
26.51000023,23.89,924,0,19.7,2,1
27.72999954,24.89,942,0,18.3,2,0
29.86000061,10.8,451,1,18.3,2,1
31.11000061,11.8,941,0,19.7,2,0
32.38000107,12.8,262,1,16.1,2,1
33.02000046,13.8,807,0,18.3,2,0
33.65999985,14.8,825,0,10.3,2,1
35.27999878,15.8,843,0,16.1,2,0
34.65000153,16.8,867,0,13.9,2,1
35.75999832,17.8,898,0,12.8,2,0
34.56999969,18.8,926,0,13.9,2,0
31.12000084,19.8,942,0,10.3,2,1
32.81000137,20.8,949,0,11.4,2,0
33.56999969,10.9,956,0,15,2,1
34.50999832,11.9,972,0,16.1,2,0
35.86999893,12.9,988,0,19.7,2,1
36.54999924,13.9,1003,0,13.9,2,0
38.25999832,14.9,1009,0,13.9,2,1
38.02999878,15.9,1014,0,16.1,2,0
36.93999863,16.9,1014,0,23,2,1
30.86000061,17.9,1017,0,19.7,2,0
31.28000069,18.9,1018,0,23,2,0
34.15000153,19.9,1021,0,19.7,2,1
35.04999924,20.9,1020,0,19.7,2,0
34.95999908,11.9,905,0,21.9,2,1
36.58000183,12.9,1024,0,16.1,2,0
37.06000137,13.9,1024,0,13.9,2,1
37.56999969,14.9,1024,0,17.2,2,0
36.61000061,15.9,1024,0,17.2,2,1
34.88000107,16.9,1024,0,16.1,2,0
33.90999985,17.9,1024,0,20.8,2,1
32.83000183,18.9,1024,0,21.7,2,0
32.68000031,19.9,1024,0,11.4,2,0
32.20999908,20.9,1024,0,15,2,1
34.68000031,21.9,1024,0,17.2,2,0
36.95999908,22.9,1024,0,17.2,2,1
37.63000107,9.8,1024,0,18.3,2,0
38.31999969,10.8,1024,0,13.9,2,1
38.40999985,11.8,1024,0,13.9,2,0
39.16999817,12.8,1024,0,19.7,2,1
38.52999878,13.8,1024,0,13.9,2,0
39.02999878,14.8,1024,0,13.9,2,1
40.16999817,15.8,1024,0,12.8,2,0
39.47000122,16.8,1024,0,23,2,0
40.63000107,17.8,1024,0,16.1,2,1
38.29000092,18.8,1024,0,16.1,2,0
37.11999893,19.8,1024,0,28.9,2,1
37.91999817,20.8,1024,0,9.2,2,0
38.70000076,22.09,1024,0,13.9,2,1
38.02000046,11.08,1024,0,13.9,2,0
38.77000046,12.08,1024,0,18.3,2,1
38.47999954,13.08,1024,0,16.1,2,0
35.65999985,14.08,1024,0,15,2,1
33.93000031,15.08,1024,0,13.9,2,0
32.13000107,16.08,1024,0,17.2,2,0
32.90000153,17.08,1024,0,16.1,2,1
34.45000076,18.08,1024,0,15,2,0
35.29999924,19.08,1024,0,11.4,2,1
35.04999924,20.08,1024,0,16.1,2,0
34.38000107,21.08,1024,0,11.4,2,1
34.84999847,22.08,1024,0,9.2,2,0
32.86999893,7.11,1024,0,8.1,2,1
34.49000168,8.11,1024,0,16.1,2,0
34.43999863,9.11,1024,0,20.8,2,1
