MaxTemp,mintemp,Humditiy,WindSpeed,Label
24.79000092,14.72,79,5.8,0
23.57999992,15.72,77,8.1,1
23.85000038,14.73,78,9.2,0
24.68000031,15.73,79,8.1,1
24.63999939,16.73,78,8.1,0
25.37999916,14.7,78,11.4,1
25.46999931,15.7,78,8.1,0
25.68000031,16.7,77,8.1,1
26.17000008,14.72,77,5.8,0
27.64999962,15.72,77,16.1,1
25.51000023,16.72,78,9.2,0
25.52000046,17.72,78,11.4,0
26.46999931,18.72,79,11.4,1
28.09000015,14.6,78,12.8,0
28.36000061,15.6,79,9.2,1
28.70999908,16.6,78,8.1,0
28.88999939,17.6,78,8.1,1
27.02000046,13.6,77,10.3,0
24.56999969,14.6,78,11.4,1
24.72999954,15.6,77,9.2,0
24.15999985,16.6,79,11.4,1
24.29000092,12.67,79,11.4,0
23.72999954,13.67,79,11.4,0
23.61000061,14.67,79,10.3,1
24.06999969,15.67,79,9.2,0
24.11000061,16.67,78,5.8,1
24.65999985,17.67,79,5.8,0
25.55999947,18.67,79,11.4,1
26.36000061,19.67,78,10.3,0
26.86000061,20.67,78,8.1,1
27.37000084,16.55,78,6.9,0
27.35000038,17.55,78,6.9,1
28.45000076,18.55,78,8.1,0
28.98999977,19.55,79,10.3,0
28.32999992,20.55,78,9.2,1
27.07999992,21.55,78,5.8,0
27.45000076,19.56,78,6.9,1
27.98999977,20.56,80,10.3,0
27.72999954,21.56,80,9.2,1
27.94000053,22.56,80,6.9,0
29.26000023,18.69,80,6.9,1
31.62000084,19.69,80,9.2,0
31.95999908,20.69,80,8.1,1
29.70000076,21.69,80,5.8,0
28.70999908,22.69,80,5.8,0
28.78000069,23.69,81,8.1,1
27.51000023,24.69,80,5.8,0
28.11000061,10.33,80,6.9,1
27.26000023,11.33,80,6.9,0
28.09000015,12.33,81,6.9,1
29.61000061,13.33,81,10.3,0
31.02000046,14.33,80,16.1,1
31.39999962,15.33,80,15,0
32.75999832,16.33,80,10.3,1
32.52000046,17.33,81,6.9,0
32.27000046,18.33,81,11.4,0
33.09000015,19.33,80,6.9,1
32.88000107,20.33,80,5.8,0
32.61999893,21.33,80,8.1,1
32.56000137,22.33,80,8.1,0
32.86000061,23.33,80,11.4,1
33.22999954,23.4,80,11.4,0
33.27999878,24.4,80,12.8,1
33.06999969,25.4,80,11.4,0
33.74000168,26.4,80,11.4,1
34.56999969,22.01,80,10.3,0
35.34999847,23.01,80,15,0
35.63999939,24.01,80,10.3,1
36.72000122,25.01,80,16.1,0
35.81999969,18,80,10.3,1
36.61000061,19,80,9.2,0
33.86000061,20,80,12.8,1
34.70000076,21,80,6.9,0
33.18999863,22,81,9.2,1
34.27000046,23,81,6.9,0
34.88000107,17.01,80,12.8,1
34.52000046,18.01,81,15,0
35.31000137,19.01,81,8.1,0
31.29000092,20.01,81,10.3,1
29.54999924,21.01,81,9.2,0
32.38999939,22.01,81,9.2,1
31.68000031,23.01,81,15,0
31.72999954,24.01,81,11.4,1
32.41999817,17.89,81,12.8,0
30.22999954,18.89,81,12.8,1
26.17000008,19.89,81,12.8,0
29.82999992,20.89,82,12.8,1
32.27999878,21.89,82,13.9,0
28.62999916,22.89,82,23,0
26.51000023,23.89,82,19.7,1
27.72999954,24.89,82,18.3,0
29.86000061,10.8,82,18.3,1
31.11000061,11.8,81,19.7,0
32.38000107,12.8,81,16.1,1
33.02000046,13.8,81,18.3,0
33.65999985,14.8,81,10.3,1
35.27999878,15.8,81,16.1,0
34.65000153,16.8,81,13.9,1
35.75999832,17.8,81,12.8,0
34.56999969,18.8,81,13.9,0
31.12000084,19.8,81,10.3,1
32.81000137,20.8,81,11.4,0
33.56999969,10.9,81,15,1
34.50999832,11.9,81,16.1,0
35.86999893,12.9,81,19.7,1
36.54999924,13.9,81,13.9,0
38.25999832,14.9,81,13.9,1
38.02999878,15.9,81,16.1,0
36.93999863,16.9,81,23,1
30.86000061,17.9,80,19.7,0
31.28000069,18.9,81,23,0
34.15000153,19.9,81,19.7,1
35.04999924,20.9,81,19.7,0
34.95999908,11.9,81,21.9,1
36.58000183,12.9,80,16.1,0
37.06000137,13.9,79,13.9,1
37.56999969,14.9,79,17.2,0
36.61000061,15.9,79,17.2,1
34.88000107,16.9,79,16.1,0
33.90999985,17.9,81,20.8,1
32.83000183,18.9,81,21.7,0
32.68000031,19.9,80,11.4,0
32.20999908,20.9,80,15,1
34.68000031,21.9,80,17.2,0
36.95999908,22.9,80,17.2,1
37.63000107,9.8,80,18.3,0
38.31999969,10.8,80,13.9,1
38.40999985,11.8,79,13.9,0
39.16999817,12.8,79,19.7,1
38.52999878,13.8,79,13.9,0
39.02999878,14.8,79,13.9,1
40.16999817,15.8,79,12.8,0
39.47000122,16.8,79,23,0
40.63000107,17.8,79,16.1,1
38.29000092,18.8,79,16.1,0
37.11999893,19.8,79,28.9,1
37.91999817,20.8,79,9.2,0
38.70000076,22.09,78,13.9,1
38.02000046,11.08,79,13.9,0
38.77000046,12.08,79,18.3,1
38.47999954,13.08,79,16.1,0
35.65999985,14.08,79,15,1
33.93000031,15.08,79,13.9,0
32.13000107,16.08,79,17.2,0
32.90000153,17.08,79,16.1,1
34.45000076,18.08,79,15,0
35.29999924,19.08,79,11.4,1
35.04999924,20.08,79,16.1,0
34.38000107,21.08,79,11.4,1
34.84999847,22.08,80,9.2,0
32.86999893,7.11,79,8.1,1
34.49000168,8.11,79,16.1,0
34.43999863,9.11,79,20.8,1
34.15000153,10.11,79,19.7,0
33.25,11.11,79,17.2,0
31.29999924,12.11,79,16.1,1
30.89999962,13.11,79,9.2,0
32.49000168,14.11,79,10.3,1
33.13999939,15.11,79,11.4,0
34.77999878,16.11,79,17.2,1
34.59000015,17.11,79,11.4,0
34.15000153,18.11,79,13.9,1
34.34000015,19.11,79,12.8,0
35.5,20.11,79,15,1
34.54000092,21.11,80,17.2,0
34.52999878,11.09,80,11.4,0
31.47999954,12.09,80,10.3,1
32.58000183,13.09,79,16.1,0
34.25999832,14.09,79,17.2,1
36.38999939,15.09,79,13.9,0
37.72000122,16.09,79,11.4,1
36.22999954,17.09,79,11.4,0
34.20000076,18.09,79,9.2,1
35.5,19.09,79,11.4,0
36.66999817,20.09,79,9.2,1
35.31999969,21.09,79,12.8,0
34.61000061,22.09,79,11.4,0
32.09000015,9.05,79,15,1
32.00999832,10.05,79,12.8,0
32.34000015,11.05,79,13.9,1
32.04999924,12.05,79,12.8,0
33.70000076,13.05,79,11.4,1
33.29000092,14.05,79,9.2,0
33.04999924,15.05,79,13.9,1
31.95999908,16.05,79,11.4,0
31.21999931,17.05,79,8.1,1
30.11000061,18.05,79,11.4,0
29.13999939,19.05,79,11.4,0
30.14999962,20.05,79,12.8,1
31.54999924,21.05,79,13.9,0
32.47000122,22.05,79,16.1,1
32.81999969,23.05,78,9.2,0
32.06999969,8.04,75,6.9,1
30.20000076,9.04,77,12.8,0
32.36999893,10.04,75,13.9,1
34.16999817,11.04,75,10.3,0
33.41999817,12.04,75,11.4,1
32.72999954,13.04,78,11.4,0
32.75,14.04,75,11.4,0
32.47999954,15.04,76,12.8,1
32.06999969,16.04,75,13.9,0
31.48999977,17.04,73,10.3,1
31.59000015,18.04,74,6.9,0
31.76000023,19.04,75,13.9,1
33.24000168,20.04,75,17.2,0
32.31999969,21.04,74,15,1
30.29999924,22.04,73,96.6,0
31.21999931,6.3,75,9.2,1
33.72000122,7.3,74,11.4,0
33.50999832,8.3,77,5.8,0
31.54999924,9.3,76,15,1
31.40999985,10.3,75,8.1,0
31.62999916,11.3,77,13.9,1
31,12.3,77,10.3,0
32.08000183,13.3,78,12.8,1
32.43999863,14.3,78,10.3,0
32.29999924,15.3,76,8.1,1
31.61000061,16.3,75,11.4,0
30.54999924,17.3,76,11.4,1
30.37999916,18.3,77,10.3,0
30.77000046,19.3,76,16.1,0
32.79999924,20.3,76,17.2,1
33.54000092,21.3,75,12.8,0
32.61000061,22.3,74,12.8,1
31.21999931,10.06,74,16.1,0
32.68999863,11.06,74,9.2,1
33.15999985,12.06,75,8.1,0
31.10000038,13.06,75,8.1,1
31.43000031,14.06,75,10.3,0
31.03000069,15.06,75,10.3,1
32.52999878,16.06,75,13.9,0
33.04999924,17.06,75,10.3,0
33.29000092,18.06,75,8.1,1
32.09999847,19.06,75,5.8,0
30.26000023,20.06,75,11.4,1
31.40999985,21.06,75,8.1,0
31.30999947,22.06,76,13.9,1
32.58000183,23.06,77,11.4,0
32.88000107,24.06,75,16.1,1
32.74000168,13.58,75,17.2,0
34.20999908,14.58,75,10.3,1
32.93999863,19.58,76,11.4,0
31.10000038,20.58,76,10.3,0
30.95000076,17.56,76,15,1
31.31999969,18.56,76,9.2,0
31.90999985,19.56,75,11.4,1
32.65000153,20.56,76,10.3,0
